Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2
#Gadhvi (He thought he was Gandhi),-2019.0,109 min,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande
#Yaaram,-2019.0,110 min,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj
...Aur Pyaar Ho Gaya,-1997.0,147 min,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan
...Yahaan,-2005.0,142 min,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba
?: A Question Mark,-2012.0,82 min,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad
@Andheri,-2014.0,116 min,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu
1:1.6 An Ode to Lost Love,-2004.0,96 min,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover
1:13:7 Ek Tera Saath,-2016.0,120 min,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir
100 Days,-1991.0,161 min,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit
100% Love,-2012.0,166 min,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick
102 Not Out,-2018.0,102 min,"Comedy, Drama",7.4,"6,619",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor
10ml LOVE,-2010.0,87 min,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose
12 O'Clock,-1958.0,132 min,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman
12 O'Clock,-2021.0,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande
127 B,-2017.0,116 min,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser
13B: Fear Has a New Address,-2009.0,146 min,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra
15 Park Avenue,-2005.0,116 min,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma
15th August,-1993.0,168 min,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra
16 December,-2002.0,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa
18.11,-2014.0,126 min,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover
19 Revolutions,-2004.0,94 min,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover
1920,-2008.0,138 min,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma
1920 London,-2016.0,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra
1920: Evil Returns,-2012.0,124 min,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai
1921,-2018.0,144 min,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra
1942: A Love Story,-1994.0,157 min,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff
1971,-2007.0,136 min,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan
1978: A Teen Night Out,-2019.0,107 min,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole
1982 - A Love Marriage,-2017.0,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna
2 Nights in Soul Valley,-2012.0,80 min,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma
2 October,-2003.0,122 min,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma
2 States,-2014.0,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt
2,-2018.0,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar
2001: Do Hazaar Ek,-1998.0,149 min,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia
2016 the End,-2017.0,130 min,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda
22 Days,-2018.0,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari
22 June 1897,-1979.0,121 min,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar
22 Yards,-2019.0,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray
23rd March 1931: Shaheed,-2002.0,188 min,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol
27 Down,-1974.0,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar
3 AM: A Paranormal Experience,-2014.0,103 min,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave
3 Bachelors,-2012.0,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan
3 Deewarein,-2003.0,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff
3 Dev,-2019.0,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey
3 Idiots,-2009.0,170 min,"Comedy, Drama",8.4,"357,889",Rajkumar Hirani,Aamir Khan,Madhavan
3 Storeys,-2018.0,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand
3.0 Megapixel,-2015.0,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar
31st October,-2015.0,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh
36 China Town,-2006.0,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna
36 Chowringhee Lane,-1981.0,122 min,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee
376 D,-2020.0,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar
